"Label","ID","Date","Events"
27,5859,"1952 May 2","The first passenger jet flight route opens between London and Johannesburg."
41,5860,"1952 May 3","U.S. lieutenant colonels Joseph O. Fletcher and William P. Benedict land a plane at the geographic North Pole."
41,5861,"1952 May 6","Farouk of Egypt has himself announced as a descendant of the Islamic prophet, Muhammad."
35,5862,"1952 May 13","Pandit Nehru forms his first government in India."
11,5863,"1952 May 15","Diplomatic relations are established between Israel and Japan at the level of legations."
26,5864,"1952 June 1","The Roman Catholic Church bans the books of Andrí© Gide."
34,5865,"1952 June 1","Navigation opens on the VolgaäóñDon Canal, connecting the Caspian Sea basin with that of the Black Sea."
20,5866,"1952 June 13","""Catalina affair"": Soviet MiG-15 fighter planes shoot down a Swedish military Douglas C-47 Skytrain carrying out signals intelligence gathering operations over the Baltic Sea, killing all 8 crew; three days later they shoot down a Catalina flying boat searching for possible survivors."
41,5867,"1952 June 14","The keel is laid for the U.S. nuclear submarine USS Nautilus."
20,5868,"1952 June 14","Myxomatosis is introduced to Europe on the French estate of Dr. Paul-Fí©lix Armand-Delille."
26,5869,"1952 June 15","Anne Frank's The Diary of a Young Girl is published in English-language translation."
18,5870,"1952 June 19","The Special Forces (United States Army) are created."
40,5871,"1952 June 21","The Philippine School of Commerce, through a government act, is converted to the Philippine College of Commerce (later the Polytechnic University of the Philippines)."
42,5872,"1952 June 26","The Pan-Malayan Labour Party is founded in Malaya, as a union of statewise labour parties."
8,5873,"1952 June 27","Decree 900 in Guatemala orders redistribution of uncultivated land."
27,5874,"1952 July 3","The ocean liner SS United States makes her maiden crossing of the Atlantic."
18,5875,"1952 July 13","East Germany announces the formation of its National People's Army."
25,5876,"1952 July 19","August 3 äóñ The 1952 Summer Olympics are held in Helsinki, Finland."
7,5877,"1952 July 21","The 7.3 Mw Kern County earthquake strikes California's southern Central Valley with a maximum Mercalli intensity of XI (Extreme), killing 12 and injuring hundreds."
32,5878,"1952 July 23","The European Coal and Steel Community is established."
42,5879,"1952 July 23","General Mohammed Naguib leads The Free Officers (formed by Gamal Abdel Nasser äóñ the real power behind the coup) in the overthrow of King Farouk of Egypt."
1,5880,"1952 August 5","The Treaty of Taipei between Japan and the Republic of China goes into effect, to officially end the Second Sino-Japanese War."
38,5881,"1952 August 11","The Jordanian Parliament forces King Talal of Jordan to abdicate due to mental illness; he is succeeded by his son King Hussein."
3,5882,"1952 August 12","The Night of the Murdered Poets; the execution of 13 Soviet Jewish poets."
31,5883,"1952 August 13","Japan joins the IMF."
31,5884,"1952 August 14","West Germany joins the IMF and the World Bank."
6,5885,"1952 August 16","Lynmouth, North Devon, England is devastated by floods; 34 die."
7,5886,"1952 August 22","The most damaging shock of the 1952 Kern County earthquake sequence strikes with a moment magnitude of 5.8 and a maximum Mercalli intensity of VIII (Severe). This event damaged several hundred buildings in Bakersfield, California, with total additional losses of $10 million, with two associated deaths and some injuries."
26,5887,"1952 August 23","Kitty Wells is first woman to score number 1 hit with the song ""It wasn't God Who Made Honky Tonk Angels""."
41,5888,"1952 August 26","A British passenger jet makes a return crossing of the Atlantic Ocean in the same day."
22,5889,"1952 August 27","Reparation negotiations between West Germany and Israel end in Luxembourg: Germany will pay 3 billion Deutsche Marks."
26,5890,"1952 August 29","Composer John Cage's 4äó_33äó_, during which the performer does not play, premieres in Woodstock, New York."
1,5891,"1952 August 30","The last Finnish war reparations are sent to the Soviet Union."
19,5892,"1952 September 2","Dr. C. Walton Lillehei and Dr. F. John Lewis perform the first open-heart surgery at the University of Minnesota."
26,5893,"1952 September 6","Television debuts in Canada as the CBC in Montreal, Quebec airs."
27,5894,"1952 September 8","CBC Toronto debuts."
22,5895,"1952 September 10","The European Parliamentary Assembly (from March 1962, European Parliament) opens."
22,5896,"1952 September 15","The United Nations cedes Eritrea to Ethiopia."
22,5897,"1952 September 18","The Soviet Union vetoes Japan's application for membership in the United Nations."
26,5898,"1952 September 19","The United States bars Charlie Chaplin from re-entering the country after a trip to England"
18,5899,"1952 October 3","The first British nuclear weapon is detonated in Australia making the United Kingdom the third nuclear weapons state."
22,5900,"1952 October 8","Negotiations for a ceasefire in Korea are postponed."
20,5901,"1952 October 8","Harrow and Wealdstone rail crash in England kills 112 people."
40,5902,"1952 October 12","The Gamma Sigma Sigma National Service Sorority is founded in New York City at Panhellenic Tower."
32,5903,"1952 October 14","The United Nations begins work in the new United Nations building in New York City, designed by Le Corbusier and Oscar Niemeyer."
26,5904,"1952 October 16","Limelight opens in London; writer/actor/director/producer Charlie Chaplin arrives by ocean liner; in transit his re-entry permit to the United States is revoked by J. Edgar Hoover."
42,5905,"1952 October 17","Indonesian troops led by General Nasution surround the presidential palace, seeking the dismissal of the People's Representative Council; Sukarno avoids confrontation."
41,5906,"1952 October 19","Alain Bombard begins to sail from the Canary Islands to Barbados in 65 days; he reaches them December 23."
41,5907,"1952 October 19","John Bamford, aged 15, rescues victims of a house fire and becomes the youngest person to be awarded the George Cross."
7,5908,"1952 November 4","The 9.0 Mw Severo-Kurilsk earthquake hits the Kamchatka Peninsula of the Soviet Union with a maximum Mercalli intensity of XI (Extreme). A tsunami took the lives of more than 2,300 people."
43,5909,"1952 November 4","United States presidential election, 1952: Republican General Dwight D. Eisenhower defeats Democratic Governor of Illinois Adlai Stevenson (correctly predicted by the UNIVAC computer)."
42,5910,"1952 November 4","The U.S. National Security Agency is founded."
41,5911,"1952 November 4","The Pace-Finletter MOU 1952: A Memorandum of understanding is signed between ""...Air Force Secretary Finletter and Army Secretary Pace that established a fixed wing weight limit [for the Army] of five thousand pounds empty, but weight restrictions on helicopters were eliminated..."""
35,5912,"1952 November 18","Jomo Kenyatta is arrested in Kenya for an alleged connection to the Mau Mau Uprising."
41,5913,"1952 November 20","Slíçnskí_ trials: A series of largely anti-Semitic show trials are held in Czechoslovakia."
27,5914,"1952 November 20","The first official passenger flight over the North Pole is made from Los Angeles to Copenhagen."
19,5915,"1952 November 20","The first successful sex reasignment surgery was performed in Copenhagen, making George Jorgensen Jr. become Christine Jorgensen."
26,5916,"1952 November 25","Agatha Christie's murder-mystery play The Mousetrap opens at the Ambassadors Theatre in London; as of 2015, it continues next door at the St. Martin's Theatre, and remains the longest continuously running production of a play in history."
35,5917,"1952 December 1","Adolfo Ruiz Cortines takes office as President of Mexico."
26,5918,"1952 December 1","The New York Daily News carries a front-page story announcing that Christine Jorgensen, a transsexual woman in Denmark, has become the recipient of the first successful sexual reassignment operation."
20,5919,"1952 December 4","the Great Smog of London: A a severe air-pollution event."
41,5920,"1952 December 14","The first successful surgical separation of Siamese twins is conducted in Mount Sinai Hospital, Cleveland, Ohio."
20,5921,"1952 December 20","The crash of a U.S. Air Force C-124 Globemaster at Moses Lake, WA kills 86 servicemen."
20,5922,"1952 December 25","One West German soldier is killed in a shooting incident in West Berlin."
26,5923,"1953 January 5","Samuel Beckett's play Waiting for Godot has its first public stage premiíÂre in French as En attendant Godot at the Thí©í¢tre de Babylone in Paris."
22,5924,"1953 January 6","The Asian Socialist Conference opens in Rangoon, Burma."
18,5925,"1953 January 7","United States President Harry S. Truman announces the United States has developed a hydrogen bomb."
42,5926,"1953 January 12","Estonian í©migrí©s found a government-in-exile in Oslo."
41,5927,"1953 January 13","""Doctors' plot"": The state newspaper Pravda publishes an article alleging that many of the most prestigious physicians in the Soviet Union, mostly Jews, are part of a major plot to poison the country's senior political and military leaders."
35,5928,"1953 January 14","Marshal Josip Broz Tito is chosen President of Yugoslavia."
41,5929,"1953 January 14","The CIA-sponsored Robertson Panel first meets to discuss the UFO phenomenon."
35,5930,"1953 January 15","Georg Dertinger, foreign minister of East Germany, is arrested for spying."
26,5931,"1953 January 19","71.1% of all television sets in the United States are tuned into I Love Lucy to watch Lucy give birth to Little Ricky, which is more people than those who tuned into Dwight Eisenhower's inauguration the next day. This record has yet to be broken."
35,5932,"1953 January 20","Dwight D. Eisenhower is sworn in as the 34th President of the United States."
26,5933,"1953 January 22","The Crucible, a drama by Arthur Miller, opens on Broadway."
3,5934,"1953 January 24","Mau Mau Uprising: Rebels in Kenya kill the Ruck family (father, mother, and six-year-old son)."
8,5935,"1953 January 24","Walter Ulbricht announces that agriculture will be collectivized in East Germany."
41,5936,"1953 January 28","Derek Bentley is executed for murder at Wandsworth Prison in London."
6,5937,"1953 February 1","The surge of the North Sea flood continues from the previous day."
3,5938,"1953 February 3","Batepíç massacre: Hundreds of native creoles known as forros are massacred in Sí£o Tomí© by the colonial administration and Portuguese landowners."
26,5939,"1953 February 5","Walt Disney's feature film Peter Pan premieres."
35,5940,"1953 February 11","President Dwight D. Eisenhower refuses a clemency appeal for Ethel and Julius Rosenberg."
11,5941,"1953 February 11","The Soviet Union breaks diplomatic relations with Israel after a bomb explosion at the Soviet embassy in reaction to the 'Doctors' plot'."
32,5942,"1953 February 12","The Nordic Council is inaugurated."
41,5943,"1953 February 13","Transsexual Christine Jorgensen returns to New York after successful sex reassignment surgery in Denmark."
40,5944,"1953 February 16","The Pakistan Academy of Sciences is established in Pakistan."
40,5945,"1953 February 19","Georgia approves the first literature censorship board in the United States."
26,5946,"1953 February 25","Release, in France, of Jacques Tati's film Les Vacances de M. Hulot, introducing the gauche character of Monsieur Hulot."
19,5947,"1953 February 28","James Watson and Francis Crick of the University of Cambridge announce their discovery of the structure of the DNA molecule."
22,5948,"1953 February 28","Greece, Turkey, and Yugoslavia sign the Balkan Pact."
35,5949,"1953 March 1","Joseph Stalin suffers a stroke after an all-night dinner with Soviet Union interior minister Lavrentiy Beria and future premiers Georgi Malenkov, Nikolai Bulganin, and Nikita Khrushchev. The stroke paralyzes the right side of his body and renders him unconscious until his death on March 5."
35,5950,"1953 March 1","Bernard Freyberg, 1st Baron Freyberg is made deputy constable and lieutenant governor of Windsor Castle."
35,5951,"1953 March 6","Georgy Maksimilianovich Malenkov succeeds Joseph Stalin as Premier and First Secretary of the Communist Party of the Soviet Union."
41,5952,"1953 March 8","The Thieves World, which had been transformed into the Russian mafia, are freed from prisons by the Malenkov regime which ends the Bitch Wars."
35,5953,"1953 March 13","The United Nations Security Council nominates Dag Hammarskjí_ld from Sweden as United Nations Secretary General."
35,5954,"1953 March 14","Nikita Khrushchev is selected First Secretary of the Soviet Communist Party."
18,5955,"1953 March 17","The first nuclear test of Operation UpshotäóñKnothole is conducted in Nevada, with 1,620 spectators at 3.4 km (2.1 mi)."
7,5956,"1953 March 18","The YeniceäóñGí_nen earthquake affected western Turkey with a maximum Mercalli intensity of IX (Violent), causing at least 1,070 deaths and $3.57 million in damage."
26,5957,"1953 March 19","The 25th Academy Awards ceremony is held (the first one broadcast on television)."
3,5958,"1953 March 25äóñ26","Lari Massacre in Kenya: Mau Mau rebels kill up to 150 Kikuyu natives."
41,5959,"1953 March 26","Jonas Salk announces his polio vaccine."
35,5960,"1953 April 7","Dag Hammarskjí_ld is elected United Nations Secretary-General."
35,5961,"1953 April 8","Jomo Kenyatta is sentenced to seven years in prison for the alleged organization of the Mau Mau Uprising."
26,5962,"1953 April 10","The Melbourne Knights is founded as Croatia SC in Melbourne."
26,5963,"1953 April 13","Ian Fleming publishes his first James Bond novel, Casino Royale, in the United Kingdom."
26,5964,"1953 April 13","The German football team SG Dynamo Dresden is founded."
35,5965,"1953 April 16","President Eisenhower delivers his ""Chance for Peace"" speech to the National Association of Newspaper Editors."
20,5966,"1953 April 16","A four-story building in Chicago belonging to the Habar Corporation catches fire, killing 35 employees."
26,5967,"1953 April 17","Mickey Mantle hits a 565-foot (172 m) home run at Griffith Stadium in Washington, D.C. Mantle's home run is believed to be the longest home run in baseball history by many historians."
26,5968,"1953 April 20","Frank Sinatra and the arranger Nelson Riddle began their first recording sessions together at Capitol Records, which would result in some of the defining recordings of Sinatra's career."
38,5969,"1953 May 2","Hussein is crowned King of Jordan."
26,5970,"1953 May 5","Aldous Huxley first tries the psychedelic hallucinogen, mescaline, inspiring his book The Doors of Perception."
11,5971,"1953 May 9","France agrees to the provisional independence of Cambodia with King Norodom Sihanouk."
43,5972,"1953 May 9","Australian Senate election, 1953: The Liberal/Country Coalition Government led by Prime Minister Robert Menzies held their Senate majority, despite gains made by Labor Party led by H.V. Evatt. This was the first occasion where a Senate election was held without an accompanying House Of Representatives election."
18,5973,"1953 May 10","The town of Chemnitz in East Germany becomes Karl Marx Stadt."
4,5974,"1953 May 11","The Waco tornado outbreak: A F5 tornado hits in the downtown section of Waco, Texas, killing 114."
22,5975,"1953 May 15","The Standards And Recommended Practices (SARPS) for Aeronautical Information Service (AIS) were adopted by the ICAO Council. These SARPS are in Annex 15 to the Chicago Convention and 15 May is celebrated by the AIS community as äóìWorld AIS Dayäóù."
19,5976,"1953 May 18","At Rogers Dry Lake, Californian Jackie Cochran becomes the first woman to break the sound barrier (in a F-86 Sabrejet at an average speed of 652.337 miles-per-hour)."
18,5977,"1953 May 25","Nuclear testing: At the Nevada Test Site, the United States conducts its only nuclear artillery test: Upshot-Knothole Grable."
2,5978,"1953 June 1","Uprising in PlzeÅ_: Currency reform causes riots in Czechoslovakia."
38,5979,"1953 June 2","Coronation of Queen Elizabeth II of the United Kingdom at Westminster Abbey."
43,5980,"1953 June 7","Italian general election: the Christian Democracy party wins a plurality in both legislative houses."
4,5981,"1953 June 7-9","FlintäóñWorcester tornado outbreak sequence: A single storm-system spawns 46 tornadoes of various sizes, in ten states from Colorado to Massachusetts, over three days, killing 246."
4,5982,"1953 June 8","On second day of FlintäóñWorcester tornado outbreak sequence, a tornado kills 115 in Flint, Michigan; it will be the last to claim more than 100 lives until the 2011 Joplin tornado."
11,5983,"1953 June 8","Austria and the Soviet Union open diplomatic relations."
23,5984,"1953 June 8","Ivo Sanader, the ""ÛëaÛˆa"", was born."
4,5985,"1953 June 9","On third day of FlintäóñWorcester tornado outbreak sequence, a tornado spawned from the same storm system as the Flint tornado the day before hits in Worcester, Massachusetts, killing 94."
35,5986,"1953 June 9","CIA Technical Services Staff head Sidney Gottlieb approves of the use of LSD in a MKUltra subproject."
35,5987,"1953 June 13","Hungarian Prime Minister Míçtyíçs Ríçkosi is replaced by Imre Nagy."
11,5988,"1953 June 16","The Soviet Union and Yugoslavia open diplomatic relations."
2,5989,"1953 June 17","Workers' Uprising in East Germany: The Soviet Union orders a division of troops into East Berlin to quell a rebellion."
31,5990,"1953 June 18","Egypt declares itself a republic."
20,5991,"1953 June 18","Tachikawa air disaster: A United States Air Force Douglas C-124 Globemaster II crashes just after takeoff from Tachikawa Airfield near Tokyo, Japan, killing all 129 people on board in the worst air crash in history up to this time, and the first with a confirmed death toll exceeding 100."
23,5992,"1953 June 19","Julius and Ethel Rosenberg are executed at Sing Sing Prison in New York, for conspiracy to commit espionage."
41,5993,"1953 June 19","Baton Rouge bus boycott begins."
27,5994,"1953 June 30","The first Chevrolet Corvette is built at Flint, Michigan."
27,5995,"1953 June 30","First roll-on/roll-off ferry crossing of the English Channel, DoveräóñBoulogne."
41,5996,"1953 July 3","First ascent of Nanga Parbat in the Pakistan Himalayas, the world's ninth highest mountain, is made by Austrian climber Hermann Buhl alone."
2,5997,"1953 July 4","Strikes and riots hit coal mining regions in Poland."
22,5998,"1953 July 5","The European Economic Community (EEC) holds its first assembly in Strasbourg, France."
42,5999,"1953 July 9","The US Treasury formally renames the Bureau of Internal Revenue; the new name (which had previously been used informally) is the Internal Revenue Service."
41,6000,"1953 July 10","The Soviet official newspaper Pravda announces that Lavrentiy Beria has been deposed as head of the NKVD."
20,6001,"1953 July 17","The greatest recorded loss of United States midshipmen in a single event results from an aircraft crash near NAS Whiting Field."
26,6002,"1953 July 23","Howard Hawks's musical film Gentlemen Prefer Blondes, starring Marilyn Monroe and Jane Russell, is released by 20th Century Fox."
1,6003,"1953 July 26","Fidel Castro and his brother lead a disastrous assault on the Moncada Barracks, preliminary to the Cuban Revolution."
2,6004,"1953 July 26","The Short Creek raid is carried out on a polygynous Mormon sect in Arizona."
41,6005,"1953 August 5","Operation Big Switch: Prisoners of war are repatriated after the Korean War."
18,6006,"1953 August 8","Soviet prime minister Georgi Malenkov announces that the Soviet Union has a hydrogen bomb."
22,6007,"1953 August 8","London Agreement on German External Debts concluded, cancelling 50% of repayable war debt by the Federal Republic of Germany to its creditors."
7,6008,"1953 August 12","The 1953 Ionian earthquake of magnitude 7.2 totally devastates Cephalonia and most of the other Ionian Islands in Greece's worst natural disaster in centuries."
18,6009,"1953 August 12","Soviet atomic bomb project: ""Joe 4"" äóñ The first Soviet thermonuclear weapon is detonated at Semipalatinsk Test Site, Kazakh SSR."
2,6010,"1953 August 13","Four million workers go on strike in France to protest against austerity measures."
33,6011,"1953 August 17","The first planning session of Narcotics Anonymous is held in Southern California (see October 5)."
26,6012,"1953 August 18","The second of the Kinsey Reports, Sexual Behavior in the Human Female, is published in the United States."
42,6013,"1953 August 19","Cold War: The CIA helps to overthrow the government of Mohammad Mosaddegh in Iran, and retain Shah Mohammad Reza Pahlavi on the throne (see Operation Ajax)."
38,6014,"1953 August 20","The French government ousts King Mohammed V of Morocco and exiles him to Corsica."
11,6015,"1953 August 20","The United States returns to West Germany 382 ships it had captured during World War II."
19,6016,"1953 September 4","The discovery of REM sleep is first published by researchers Eugene Aserinsky and Nathaniel Kleitman."
19,6016,"1953 September 4","The discovery of REM sleep is first published by researchers Eugene Aserinsky and Nathaniel Kleitman."
22,6017,"1953 September 5","The United Nations rejects the Soviet Union's suggestion to accept China as a member."
35,6018,"1953 September 7","Nikita Khrushchev becomes head of the Soviet Central Committee."
23,6019,"1953 September 12","U.S. Senator John Fitzgerald Kennedy marries Jacqueline Lee Bouvier at St. Mary's Church in Newport, Rhode Island."
18,6020,"1953 September 25","The first German prisoners of war return from the Soviet Union to West Germany."
27,6021,"1953 October","The UNIVAC 1103 is the first commercial computer to use random-access memory."
35,6022,"1953 October 5","Earl Warren is appointed Chief Justice of the United States by U.S. president Dwight D. Eisenhower."
22,6023,"1953 October 5","The first meeting of Narcotics Anonymous is held (the first planning session was held August 17)."
40,6024,"1953 October 6","UNICEF, the United Nations Children's Fund, is made a permanent specialized agency of the United Nations."
43,6025,"1953 October 9","West German federal election, 1953: Konrad Adenauer is re-elected as German chancellor."
17,6026,"1953 October 9","The British Guiana constitution is suspended."
26,6027,"1953 October 10","Roland (Monty) Burton wins the 1953 London to Christchurch air race in under 23 hours flying time."
11,6028,"1953 October 10","The Mutual Defense Treaty Between the United States and the Republic of Korea is concluded in Washington, D.C."
26,6029,"1953 October 12","The play The Caine Mutiny Court-Martial opens at Plymouth Theatre, New York."
31,6030,"1953 October 22","Laos becomes independent from France."
26,6031,"1953 October 23","Alto Broadcasting System in the Philippines makes the first television broadcast in southeast Asia through DZAQ-TV. Alto Broadcasting System is the predecessor of what will later become ABS-CBN Corporation."
35,6032,"1953 November 5","David Ben-Gurion resigns as prime minister of Israel."
1,6033,"1953 November 9","The Laotian Civil War begins between the Kingdom of Laos and the Pathet Lao, all the while resuming the First Indochina War against the French Army in a Two-front war."
35,6034,"1953 November 9","Saudi King Abdul Aziz al-Saud died."
19,6035,"1953 November 20","The Douglas D-558-2 Skyrocket, piloted by Scott Crossfield, becomes the first manned aircraft to reach Mach 2."
26,6036,"1953 November 20","Authorities at the Natural History Museum, London announce that the skull of Piltdown Man (allegedly an early human discovered in 1912) is a hoax."
34,6037,"1953 November 21","Puerto Williams is founded in Chile as the southernmost settlement of the world."
26,6038,"1953 November 25","England loses 6‚Äö√Ñ√¨3 to Hungary at Wembley Stadium, their first ever loss to a continental team at home."
41,6039,"1953 November 29","French paratroopers take ∆í√™i¬∑¬™√°n Bi‚àö‚Ñ¢n Ph¬∑¬™√ü."
27,6040,"1953 December","Hugh Hefner publishes the first issue of Playboy magazine in the United States, featuring a centerfold nude photograph of Marilyn Monroe; it sells 54,175 copies at $.50 each."
11,6041,"1953 December 2","The United Kingdom and Iran reform diplomatic relations."
26,6042,"1953 December 6","With the NBC Symphony Orchestra, conductor Arturo Toscanini performs what he claims is his favorite Beethoven symphony, Eroica, for the last time. The live performance is broadcast nationwide on radio, and later released on records and CD."
2,6043,"1953 December 7","A visit to Iran by American Vice President Richard Nixon sparks several days of riots, as an reaction to the August 19 overthrow of the government of Mohammed Mossadegh by the US-backed Shah. Three students are shot dead by police in Tehran. This event becomes an annual commemoration."
35,6044,"1953 December 8","U.S. president Dwight D. Eisenhower delivers his Atoms for Peace address to the United Nations General Assembly in New York City."
26,6045,"1953 December 10","Albert Schweitzer is given the 1952 Nobel Peace Prize."
44,6046,"1953 December 17","The U.S. Federal Communications Commission (FCC) approves color television (using the NTSC standard)."
35,6047,"1953 December 23","The Soviet Union announces officially that Lavrentiy Beria has been executed."
20,6048,"1953 December 24","Tangiwai disaster: A railway bridge collapses at Tangiwai, New Zealand, sending a fully loaded passenger train into the Whangaehu River; 151 are killed."
31,6049,"1953 December 25","The Amami Islands are returned to Japan after 8 years of United States military occupation."
27,6050,"1953 December 30","The first color television sets go on sale for about US$1,175."
35,6051,"1953 December 30","Ramon Magsaysay is the 7th President of the Philippines."
11,6052,"1954 January 1","The Soviet Union ceases to demand war reparations from East Germany."
27,6053,"1954 January 7","Georgetown-IBM experiment: The first public demonstration of a machine translation system, is held in New York at the head office of IBM."
20,6054,"1954 January 10","BOAC Flight 781, a de Havilland Comet jet plane, disintegrates in mid-air due to metal fatigue and crashes in the Mediterranean near Elba. All 35 people on board are killed."
4,6055,"1954 January 12","Avalanches in Austria kill more than 200."
26,6056,"1954 January 14","Marilyn Monroe marries baseball player Joe DiMaggio."
35,6057,"1954 January 15","Mau Mau leader Waruhiu Itote is captured in Kenya."
35,6058,"1954 January 17","In Yugoslavia, Milovan ∆í√™ilas, one of the leading members of the League of Communists of Yugoslavia, is relieved of his duties."
40,6059,"1954 January 20","The US-based National Negro Network is established with forty-six member radio stations."
18,6060,"1954 January 21","The first nuclear-powered submarine, the USS Nautilus, is launched in Groton, Connecticut, by First Lady of the United States Mamie Eisenhower."
35,6061,"1954 February 3","Elizabeth II becomes the first reigning monarch to visit Australia."
35,6062,"1954 February 10","After authorizing $385 million over the $400 million already budgeted for military aid to Vietnam, President of the United States Dwight D. Eisenhower warns against his country's intervention in Vietnam."
31,6063,"1954 February 19","1954 transfer of Crimea: The Soviet Politburo of the Soviet Union orders the transfer the Crimean Oblast from the Russian SFSR to the Ukrainian SSR."
19,6064,"1954 February 23","The first mass vaccination of children against polio begins in Pittsburgh, United States."
18,6065,"1954 March 1","U.S. officials announce that a hydrogen bomb test (Castle Bravo) has been conducted on Bikini Atoll in the Pacific Ocean."
3,6066,"1954 March 1","U.S. Capitol shooting incident: Four Puerto Rican nationalists open fire in the United States House of Representatives chamber and wound five; they are apprehended by security guards."
26,6067,"1954 March 9","American journalists Edward R. Murrow and Fred W. Friendly produce a 30-minute See It Now documentary, entitled A Report on Senator Joseph McCarthy."
18,6068,"1954 March 12","Finland and Germany officially end their state of war."
1,6069,"1954 March 13","French troops begin the battle against the Viet Minh in Dien Bien Phu."
26,6070,"1954 March 19","Joey Giardello knocks out Willie Tory at Madison Square Garden, in the first televised boxing prize fight to be shown in colour."
41,6071,"1954 March 23","In Vietnam, the Viet Minh capture the main airstrip of Dien Bien Phu. The remaining French Army units there are partially isolated."
37,6072,"1954 March 25","The 26th Academy Awards ceremony is held."
27,6073,"1954 March 25","RCA manufactures the first color television set (12-inch screen; price: $1,000)"
11,6074,"1954 March 25","The Soviet Union recognises the sovereignty of East Germany. Soviet troops remain in the country."
18,6075,"1954 March 27","The Castle Romeo nuclear test explosion is executed."
26,6076,"1954 March 28","Puerto Rico's first television station, WKAQ-TV, commences broadcasting."
35,6077,"1954 March 28","Trial of A. L. Zissu and 12 other Zionist leaders ends with harsh sentences in Communist Romania."
20,6078,"1954 March 29","A C-47 transport with French nurse Genevi‚àö¬Æve de Galard on board is wrecked on the runway at Dien Bien Phu."
26,6079,"1954 April","Bill Haley & His Comets record ""Rock Around the Clock"", thus starting the rock and roll craze."
40,6080,"1954 April 1","The U.S. Congress and President Dwight D. Eisenhower authorize the founding of the United States Air Force Academy in Colorado."
40,6081,"1954 April 1","South Point School (India) is founded and becomes the largest school in the world by 1992."
35,6082,"1954 April 3","Vladimir Petrov defects from the Soviet Union and asks for political asylum in Australia."
26,6083,"1954 April 4","The legendary symphony conductor Arturo Toscanini experiences a lapse of memory during a concert. At this concert's end, his retirement is announced, and Toscanini never conducts in public again."
35,6084,"1954 April 7","Dwight D. Eisenhower gives his ""domino theory"" speech during a news conference."
20,6085,"1954 April 8","A Royal Canadian Air Force Canadair Harvard collides with a Trans-Canada Air Lines Canadair North Star over Moose Jaw, Saskatchewan, killing 37 people."
41,6086,"1954 April 11","This day is denoted as the most boring day in the 20th century by True Knowledge, an answer engine developed by William Tunstall-Pedoe. No significant newsworthy events, births, or deaths are known to have happened on this day."
35,6087,"1954 April 14","Aneurin Bevan resigns from the British Labour Party's ""Shadow Cabinet""."
41,6088,"1954 April 14","A Soviet spy ring in Australia is unveiled."
35,6089,"1954 April 16","Vice President Richard Nixon announces that the United States may be ‚Äö√Ñ√∫putting our own boys in Indochina regardless of Allied support‚Äö√Ñ√π."
35,6090,"1954 April 22","Senator Joseph McCarthy begins hearings investigating the United States Army for being ""soft"" on Communism."
22,6091,"1954 April 26","An international conference on Korea and Indo-China opens in Geneva."
26,6092,"1954 April 26","Akira Kurosawa's Seven Samurai is released in Japan."
40,6093,"1954 May 1","The Unification Church is founded in South Korea."
35,6094,"1954 May 4","General Alfredo Stroessner deposes Federico Ch‚àö¬∞vez in a coup d'‚àö¬©tat in Paraguay; from August 15 he will hold the office of President until 1989."
26,6095,"1954 May 6","Roger Bannister runs the first sub-four minute mile, in Oxford, England."
1,6096,"1954 May 7","Vietnam War (run-up): The Battle of Dien Bien Phu ends in a French defeat (the battle began on March 13)."
40,6097,"1954 May 8","The Asian Football Confederation (AFC) is formed in Manila, Philippines."
35,6098,"1954 May 11","U.S. Secretary of State John Foster Dulles declares that Indochina is important but not essential to the security of Southeast Asia, thus ending any prospect of American intervention on the side of France."
27,6099,"1954 May 14","The Boeing 707 is released after about two years of development."
22,6100,"1954 May 14","The Hague Convention for the Protection of Cultural Property in the Event of Armed Conflict was adopted in The Hague, Netherlands."
32,6101,"1954 May 15","The Latin Union (Uni‚àö‚â•n Latina) is created by the Convention of Madrid. Its member countries use the five Romance languages: Italian, French, Spanish, Portuguese, and Romanian. It will suspend operations in 2012."
41,6102,"1954 May 17","Brown v. Board of Education (347 US 483 1954): The U.S. Supreme Court rules unanimously that segregated schools are unconstitutional."
41,6103,"1954 May 17","The Royal Commission on the Petrov Affair in Australia begins its inquiry."
42,6104,"1954 May 17","Adnan Menderes of the Democratic Party forms the new (21st) government of Turkey."
43,6105,"1954 May 20","Chiang Kai-shek is reelected as the president of the Republic of China by the National Assembly."
22,6106,"1954 May 22","The common Nordic Labour Market act is signed."
20,6107,"1954 May 26","A fire on board the U.S. Navy aircraft carrier USS Bennington off Narragansett Bay, Massachusetts, kills 103 sailors."
43,6108,"1954 May 29","Australian federal election, 1954: Robert Menzies' Liberal/Country Coalition Government is re-elected with a decreased majority, defeating the Labor Party led by H.V. Evatt. The election came shortly after the Petrov Affair, which arguably helped the Government survived what was initially predicted to be a defeat."
40,6109,"1954 May 29","Creation and first meeting of the Bilderberg Group."
26,6110,"1954 May 29","Diane Leather becomes the first woman to run a sub-five minute mile, in Birmingham, England."
26,6111,"1954 June 6","The grand opening of the sculpture of Yuriy Dolgorukiy took place in Moscow. This statue is one of the main monuments of Moscow."
26,6112,"1954 June 7","Early computer scientist Alan Turing commits suicide."
23,6113,"1954 June 9","McCarthyism: Joseph Welch, special counsel for the United States Army, lashes out at Senator Joseph McCarthy, during hearings on whether Communism has infiltrated the Army, saying, ""Have you, at long last, no decency?"""
